"","Compound ID","ESOL predicted log solubility in mols per litre","Minimum Degree","Molecular Weight","Number of H-Bond Donors","Number of Rings","Number of Rotatable Bonds","Polar Surface Area","measured log solubility in mols per litre","smiles","compound"
"776","5-Ethyl-5-(3-methylbutyl)barbital",-2.312,1,226.276,2,1,4,75.27,-2.658,"O=C1NC(=O)NC(=O)C1(CC)CCC(C)C","5-ethyl-5-(3-methylbutyl)barbital"
"777","Benzo(j)fluoranthene",-6.007,2,252.316,0,5,0,0,-8,"c1ccc2c3c(ccc2c1)c4cccc5cccc3c45","benzo(j)fluoranthene"
"778","2-Ethylbutanal",-1.523,1,100.161,0,0,3,17.07,-1.52,"CCC(CC)C=O","2-ethylbutanal"
"779","Dipropyl ether",-1.426,1,102.177,0,0,4,9.23,-1.62,"CCCOCCC","dipropyl ether"
"780","1-Tetradecanol",-4.231,1,214.393,1,0,12,20.23,-5.84,"CCCCCCCCCCCCCCO","1-tetradecanol"
"781","2,3,6-Trichlorophenol",-3.572,1,197.448,1,1,0,20.23,-2.64,"Oc1c(Cl)ccc(Cl)c1Cl","2,3,6-trichlorophenol"
"782","Urea",0.832,1,60.056,2,0,0,69.11,0.96,"NC(=O)N","urea"
"783","1-Pentyne",-1.446,1,68.119,0,0,1,0,-1.64,"CCCC#C","1-pentyne"
"784","1,3-Dibromobenzene",-4.298,1,235.906,0,1,0,0,-3.54,"Brc1cccc(Br)c1","1,3-dibromobenzene"
"785","1-Octadecanol",-5.649,1,270.501,1,0,16,20.23,-8.4,"CCCCCCCCCCCCCCCCCCO","1-octadecanol"
"786","Acetanilide",-1.857,1,135.166,1,1,1,29.1,-1.33,"CC(=O)Nc1ccccc1","acetanilide"
"787","hematein",-1.795,1,300.266,4,4,0,107.22,-2.7,"c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21","hematein"
"788","Isonazid",-0.717,1,137.142,2,1,1,68.01,0.009,"c1nccc(C(=O)NN)c1","isonazid"
"789","hydroxychlordene",-4.156,1,354.875,1,3,0,20.23,-5.46,"OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl","hydroxychlordene"
"790","Isopentyl formate",-1.449,1,116.16,0,0,4,26.3,-1.52,"CC(C)CCOC=O","isopentyl formate"
"791","Acetophenone",-2.078,1,120.151,0,1,1,17.07,-1.28,"CC(=O)c1ccccc1","acetophenone"
"792","biquinoline",-4.903,2,256.308,0,4,1,25.78,-5.4,"c2ccc1nc(ccc1c2)c4ccc3ccccc3n4","biquinoline"
"793","Triethyl phosphate",-0.953,1,182.156,0,0,6,44.76,0.43,"CCOP(=O)(OCC)OCC","triethyl phosphate"
"794","D-fenchone",-2.158,1,152.237,0,2,0,17.07,-1.85,"CC2(C)C1CCC(C)(C1)C2=O","d-fenchone"
"795","7-methoxypteridine",-1.589,1,162.152,0,2,1,60.79,-0.91,"COc2cnc1cncnc1n2","7-methoxypteridine"
"796","Chlordene",-5.152,1,338.876,0,3,0,0,-5.64,"ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl","chlordene"
"797","2-Nitropropane",-0.743,1,89.094,0,0,1,43.14,-0.62,"CC(C)N(=O)=O","2-nitropropane"
"798","Carbazole",-3.836,2,167.211,1,3,0,15.79,-5.27,"c1ccc2c(c1)[nH]c3ccccc32","carbazole"
"799","Erythritol",0.675,1,122.12,4,0,3,80.92,0.7,"OCC(O)C(O)CO","erythritol"
"800","Risocaine",-2.709,1,179.219,1,1,3,52.32,-2.452,"CCCOC(=O)c1ccc(N)cc1","risocaine"
"801","Azodrin",-0.949,1,223.165,1,0,5,73.86,0.651,"CNC(=O)C=C(C)OP(=O)(OC)OC","azodrin"
"802","Succinimide",0.282,1,99.089,1,1,0,46.17,0.3,"O=C1CCC(=O)N1","succinimide"
"803","2,3-Dimethylpentane",-2.938,1,100.205,0,0,2,0,-4.28,"CCC(C)C(C)C","2,3-dimethylpentane"
"804","bupirimate",-3.493,1,316.427,1,1,8,84.42,-4.16,"CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C","bupirimate"
"805","RTI 16",-3.411,1,270.361,0,3,1,32.26,-4.634,"CCN2c1ncccc1N(C)C(=S)c3cccnc23","rti 16"
"806","RTI 9",-3.784,1,239.274,0,3,1,29.54,-3.68,"O2c1ccccc1N(CC)C(=O)c3ccccc23","rti 9"
"807","Tetrahydropyran",-0.978,2,86.134,0,1,0,9.23,-0.03,"C1CCOCC1","tetrahydropyran"
"808","1-Heptyne",-2.155,1,96.173,0,0,3,0,-3.01,"CCCCCC#C","1-heptyne"
"809","osthole",-4.076,1,244.29,0,2,3,39.44,-4.314,"c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O","osthole"
"810","3-Methylcholanthrene",-6.311,1,268.359,0,5,0,0,-7.92,"c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2","3-methylcholanthrene"
"811","Ethyl benzoate",-2.775,1,150.177,0,1,2,26.3,-2.32,"CCOC(=O)c1ccccc1","ethyl benzoate"
"812","1-Chloro-2-methylpropane",-1.924,1,92.569,0,0,1,0,-2,"ClCC(C)C","1-chloro-2-methylpropane"
"813","Ethinyl estradiol",-4.317,1,296.41,2,4,0,40.46,-4.3,"CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C","ethinyl estradiol"
"814","methyl laurate",-4.025,1,214.349,0,0,10,26.3,-4.69,"CCCCCCCCCCCC(=O)OC","methyl laurate"
"815","Di-n-propylsulfide",-2.307,1,118.245,0,0,4,0,-2.58,"CCCSCCC","di-n-propylsulfide"
"816","Napthacene",-5.568,2,228.294,0,4,0,0,-8.6,"c1ccc2cc3cc4ccccc4cc3cc2c1","napthacene"
"817","1-Bromopentane",-2.658,1,151.047,0,0,3,0,-3.08,"CCCCCBr","1-bromopentane"
"818","trans-2-Heptene",-2.784,1,98.189,0,0,3,0,-3.82,"CCCC/C=C/C","trans-2-heptene"
"819","Metranidazole",-0.859,1,171.156,1,1,3,81.19,-1.26,"Cc1ncc(N(=O)=O)n1CCO","metranidazole"
"820","Pentylcyclopentane",-3.869,1,140.27,0,1,4,0,-6.08,"CCCCCC1CCCC1","pentylcyclopentane"
"821","2,2',3,5,5',6-PCB",-7.261,1,360.882,0,2,1,0,-7.42,"Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl","2,2',3,5,5',6-pcb"
"822","5-Ethyl-5-isopropylbarbituric acid",-1.603,1,198.222,2,1,2,75.27,-2.148,"O=C1NC(=O)NC(=O)C1(CC)C(C)C","5-ethyl-5-isopropylbarbituric acid"
"823","1,1,1-Trichloroethane",-2.232,1,133.405,0,0,0,0,-2,"CC(Cl)(Cl)Cl","1,1,1-trichloroethane"
"824","Monolinuron",-2.948,1,214.652,1,1,2,41.57,-2.57,"CON(C)C(=O)Nc1ccc(Cl)cc1","monolinuron"
"825","Cyclohexyl-5-spirobarbituric acid",-1.405,1,196.206,2,2,0,75.27,-3.06,"O=C2NC(=O)C1(CCCCC1)C(=O)N2","cyclohexyl-5-spirobarbituric acid"
"826","dimetan",-2.304,1,211.261,0,1,1,46.61,-0.85,"CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1","dimetan"
"827","4-Bromotoluene",-3.667,1,171.037,0,1,0,0,-3.19,"Cc1ccc(Br)cc1","4-bromotoluene"
"828","Diethyl ether",-0.718,1,74.123,0,0,2,9.23,-0.09,"CCOCC","diethyl ether"
"829","Rovral",-4.004,1,330.171,1,2,2,69.72,-4.376,"CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2","rovral"
"830","Benfluralin",-5.205,1,335.282,0,1,7,89.52,-5.53,"CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O","benfluralin"
"831","2,4,6-Trimethylphenol",-2.941,1,136.194,1,1,0,20.23,-2.05,"Cc1cc(C)c(O)c(C)c1","2,4,6-trimethylphenol"
"832","Benzene",-2.418,2,78.114,0,1,0,0,-1.64,"c1ccccc1","benzene"
"833","p-Chloroiodobenzene",-4.384,1,238.455,0,1,0,0,-4.03,"Clc1ccc(I)cc1","p-chloroiodobenzene"
"834","Metoxuron",-2.683,1,228.679,1,1,2,41.57,-2.564,"COc1ccc(NC(=O)N(C)C)cc1Cl","metoxuron"
"835","propachlor",-3.018,1,211.692,0,1,3,20.31,-2.48,"CC(C)N(C(=O)CCl)c1ccccc1","propachlor"
"836","Styrene",-2.85,1,104.152,0,1,1,0,-2.82,"C=Cc1ccccc1","styrene"
"837","Dimethoxymethane",0.092,1,76.095,0,0,2,18.46,0.48,"COCOC","dimethoxymethane"
"838","o-Xylene",-3.004,1,106.168,0,1,0,0,-2.8,"Cc1ccccc1C","o-xylene"
"839","Butan-2-ol",-0.616,1,74.123,1,0,1,20.23,0.47,"CCC(C)O","butan-2-ol"
"840","1,4-Benzenediol",-1.59,1,110.112,2,1,0,40.46,-0.17,"Oc1ccc(O)cc1","1,4-benzenediol"
"841","estriol",-3.858,1,288.387,3,4,0,60.69,-4.955,"CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O","estriol"
"842","Benzo(b)fluorene",-5.189,2,216.283,0,4,0,0,-8.04,"C1c2ccccc2c3cc4ccccc4cc13","benzo(b)fluorene"
"843","hydantoin",0.603,1,100.077,2,1,0,58.2,-0.4,"O=C1CNC(=O)N1","hydantoin"
"844","4-hexylresorcinol",-3.493,1,194.274,2,1,5,40.46,-2.59,"c1(O)cc(O)ccc1CCCCCC","4-hexylresorcinol"
"845","allicin",-2.045,1,162.279,0,0,5,17.07,-0.83,"C=CCS(=O)SCC=C","allicin"
"846","Coumaphos",-5.04,1,362.771,0,2,6,57.9,-5.382,"CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2","coumaphos"
"847","5,6-Dimethylchrysene",-6.265,1,256.348,0,4,0,0,-7.01,"Cc1c(C)c2c3ccccc3ccc2c4ccccc14","5,6-dimethylchrysene"
"848","Betamethasone-17-valerate",-5.062,1,476.585,2,4,6,100.9,-4.71,"CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO","betamethasone-17-valerate"
"849","uric acid",-0.541,1,168.112,4,2,0,114.37,-3.93,"O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2","uric acid"
"850","2,3,4,6-Tetrachlorophenol",-4.203,1,231.893,1,1,0,20.23,-3.1,"Oc1c(Cl)cc(Cl)c(Cl)c1Cl","2,3,4,6-tetrachlorophenol"
"851","1,3-Dichlorobenzene",-3.558,1,147.004,0,1,0,0,-3.04,"Clc1cccc(Cl)c1","1,3-dichlorobenzene"
"852","DDT",-6.638,1,354.491,0,2,2,0,-7.15,"Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl","ddt"
"853","Isobutyl formate",-1.095,1,102.133,0,0,3,26.3,-1.01,"CC(C)COC=O","isobutyl formate"
"854","thioanisole",-2.87,1,124.208,0,1,1,0,-2.39,"c1ccccc1SC","thioanisole"
"855","RTI 13",-4.45,1,322.29,1,3,1,58.12,-4.207,"CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23","rti 13"
"856","Hexane",-2.615,1,86.178,0,0,3,0,-3.84,"CCCCCC","hexane"
"857","methyl nicotinate",-1.621,1,137.138,0,1,1,39.19,-0.46,"COC(=O)c1cccnc1","methyl nicotinate"
"858","Bendroflumethiazide",-3.741,1,421.422,3,3,3,118.36,-3.59,"NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F","bendroflumethiazide"
"859","2,3,3',4,4',5-PCB",-7.425,1,360.882,0,2,1,0,-7.82,"Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl","2,3,3',4,4',5-pcb"
"860","Vinclozolin",-4.377,1,286.114,0,2,2,46.61,-4.925,"CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C","vinclozolin"
"861","Cyanazine",-2.49,1,240.698,2,1,4,86.52,-3.15,"CCNc1nc(Cl)nc(NC(C)(C)C#N)n1","cyanazine"
"862","Triphenylene",-5.568,2,228.294,0,4,0,0,-6.726,"c1ccc2c(c1)c3ccccc3c4ccccc24","triphenylene"
"863","Dienestrol",-4.775,1,266.34,2,2,3,40.46,-4.95,"CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2","dienestrol"
"864","Di(2-ethylhexyl)-phthalate",-7.117,1,390.564,0,1,14,52.6,-6.96,"CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC","di(2-ethylhexyl)-phthalate"
"865","2-Ethyl pyridine",-2.051,1,107.156,0,1,1,12.89,0.51,"CCc1ccccn1","2-ethyl pyridine"
"866","Naled",-3.548,1,380.784,0,0,5,44.76,-2.28,"COP(=O)(OC)OC(Br)C(Cl)(Cl)Br","naled"
"867","Biphenyl",-4.079,2,154.212,0,2,1,0,-4.345,"c1ccc(cc1)c2ccccc2","biphenyl"
"868","2,2',4,4',6,6'-PCB",-7.179,1,360.882,0,2,1,0,-8.71,"Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl","2,2',4,4',6,6'-pcb"
"869","Altretamine",-2.492,1,210.285,0,1,3,48.39,-3.364,"CN(C)c1nc(nc(n1)N(C)C)N(C)C","altretamine"
"870","2,4-Dimethyl-2-pentanol",-1.647,1,116.204,1,0,2,20.23,-0.92,"CC(C)CC(C)(C)O","2,4-dimethyl-2-pentanol"
"871","Cycloheptyl-5-spirobarbituric acid",-1.844,1,210.233,2,2,0,75.27,-3.168,"O=C2NC(=O)C1(CCCCCC1)C(=O)N2","cycloheptyl-5-spirobarbituric acid"
"872","Fructose",0.471,1,180.156,5,1,2,110.38,0.64,"OCC1OC(O)(CO)C(O)C1O","fructose"
"873","3,5-Dimethylphenol",-2.652,1,122.167,1,1,0,20.23,-1.4,"Cc1cc(C)cc(O)c1","3,5-dimethylphenol"
"874","Barban",-4.16,1,258.104,1,1,2,38.33,-4.37,"ClCC#CCOC(=O)Nc1cccc(Cl)c1","barban"
"875","p-Chloroacetanilide",-2.642,1,169.611,1,1,1,29.1,-2.843,"CC(=O)Nc1ccc(Cl)cc1","p-chloroacetanilide"
"876","2,2',3,4,5,5',6-PCB",-7.898,1,395.327,0,2,1,0,-8.94,"Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl","2,2',3,4,5,5',6-pcb"
"877","2,2-Dimethylbutane",-2.584,1,86.178,0,0,0,0,-3.55,"CCC(C)(C)C","2,2-dimethylbutane"
"878","N-Methylaniline",-2.097,1,10715.6,1,1,1,12.03,-1.28,"CNc1ccccc1","n-methylaniline"
"879","1,4-Pentadiene",-1.758,1,68.119,0,0,2,0,-2.09,"C=CCC=C","1,4-pentadiene"
"880","Hydrocortisone 21-acetate",-3.692,1,404.503,2,4,3,100.9,-4.88,"CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C","hydrocortisone 21-acetate"
"881","DNOC",-2.818,1,198.134,1,1,2,106.51,-1.456,"Cc1cc(cc(N(=O)=O)c1O)N(=O)=O","dnoc"
"882","Lorazepam",-3.75,1,321.163,2,3,1,61.69,-3.604,"OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O","lorazepam"
"883","3-Chlorophenol",-2.761,1,128.558,1,1,0,20.23,-0.7,"Oc1cccc(Cl)c1","3-chlorophenol"
"884","m-Chlorobromobenzene",-3.928,1,191.455,0,1,0,0,-3.21,"Clc1cccc(Br)c1","m-chlorobromobenzene"
"885","chlorothiazide",-1.752,1,295.729,2,2,1,118.69,-3.05,"NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl","chlorothiazide"
"886","5-Methyl-5-ethylbarbituric acid",-0.911,1,170.168,2,1,1,75.27,-1.228,"O=C1NC(=O)NC(=O)C1(C)CC","5-methyl-5-ethylbarbituric acid"
"887","2-Phenoxyethanol",-1.761,1,138.166,1,1,3,29.46,-0.7,"OCCOc1ccccc1","2-phenoxyethanol"
"888","Diphenylmethane",-4.09,2,168.239,0,2,2,0,-4.08,"C(c1ccccc1)c2ccccc2","diphenylmethane"
"889","3-Octanol",-2.033,1,130.231,1,0,5,20.23,-1.98,"CCCCCC(O)CC","3-octanol"
"890","Flumetralin",-6.584,1,421.734,0,2,6,89.52,-6.78,"CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O","flumetralin"
"891","Propazine",-3.329,1,229.715,2,1,4,62.73,-4.43,"CC(C)Nc1nc(Cl)nc(NC(C)C)n1","propazine"
"892","2-Methylpentanol",1381,1,102.177,1,0,3,20.23,-1.11,"CCCC(C)CO","2-methylpentanol"
"893","2-Methyl-2-hexanol",-1.663,1,116.204,1,0,3,20.23,-1.08,"CCCCC(C)(C)O","2-methyl-2-hexanol"
"894","Ethylbenzene",-2.988,1,106.168,0,1,1,0,-2.77,"CCc1ccccc1","ethylbenzene"
"895","5-(3-Methyl-2-butenyl)-5-ethylbarbital",-2.126,1,224.26,2,1,3,75.27,-2.253,"O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C","5-(3-methyl-2-butenyl)-5-ethylbarbital"
"896","Heptachlor",-5.26,1,373.321,0,3,0,0,-6.317,"ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl","heptachlor"
"897","butallylonal",-2.766,1,303.156,2,1,4,75.27,-2.647,"CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O","butallylonal"
"898","Fenpropathrin",-6.15,1,349.43,0,3,5,59.32,-6.025,"CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C","fenpropathrin"
"899","Methoprene",-4.795,1,310.478,0,0,10,35.53,-5.19,"COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C","methoprene"
"900","Ethyl propionate",-1.191,1,102.133,0,0,2,26.3,-0.66,"CCOC(=O)CC","ethyl propionate"
"901","Prometryn",-3.693,1,241.364,2,1,5,62.73,-4.1,"CSc1nc(NC(C)C)nc(NC(C)C)n1","prometryn"
"902","Buturon",-3.199,1,236.702,1,1,2,32.34,-3.9,"CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1","buturon"
"903","2,3-Dimethylnaphthalene",-4.116,1,156.228,0,2,0,0,-4.72,"Cc1cc2ccccc2cc1C","2,3-dimethylnaphthalene"
"904","2,4',5-PCB",-5.762,1,257.547,0,2,1,0,-6.25,"Clc1ccc(cc1)c2cc(Cl)ccc2Cl","2,4',5-pcb"
"905","2,3',4,4',5-PCB",-7.343,1,360.882,0,2,1,0,-7.39,"Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl","2,3',4,4',5-pcb"
"906","2-cyanoguanidine",0.361,1,84.082,2,0,0,88.19,-0.31,"NC(N)=NC#N","2-cyanoguanidine"
"907","Chloropicrin",-1.866,1,164.375,0,0,0,43.14,-2,"ClC(Cl)(Cl)N(=O)=O","chloropicrin"
"908","2,6-PCB",-4.984,1,223.102,0,2,1,0,-5.21,"Clc1cccc(Cl)c1c2ccccc2","2,6-pcb"
"909","p-Methoxybenzaldehyde",-2.252,1,136.15,0,1,2,26.3,-1.49,"COc1ccc(C=O)cc1","p-methoxybenzaldehyde"
"910","4-Nitroacetanilide",-2.219,1,180.163,1,1,2,72.24,-2.692,"CC(=O)Nc1ccc(cc1)N(=O)=O","4-nitroacetanilide"
"911","Ethyl heptanoate",-2.608,1,158.241,0,0,6,26.3,-2.74,"CCCCCCC(=O)OCC","ethyl heptanoate"
"912","p-Hydroxyacetanilide",-1.495,1,151.165,2,1,1,49.33,-1.03,"CC(=O)Nc1ccc(O)cc1","p-hydroxyacetanilide"
"913","indazole",-2.34,2,118.139,1,2,0,28.68,-2.16,"c2ccc1[nH]ncc1c2","indazole"
"914","triamcinolone acetonide",-3.928,1,434.504,2,5,2,93.06,-4.31,"CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO","triamcinolone acetonide"
"915","guanine",-0.67,1,151.129,3,2,0,100.45,-3.583,"Nc2nc1[nH]cnc1c(=O)[nH]2","guanine"
"916","Methyl acetate",-0.416,1,74.079,0,0,0,26.3,0.46,"COC(=O)C","methyl acetate"
"917","Stanolone",-3.882,1,290.447,1,4,0,37.3,-4.743,"CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O","stanolone"
"918","1-Hexene-3-ol",-1.199,1,100.161,1,0,3,20.23,-0.59,"CCCC(O)C=C","1-hexene-3-ol"
"919","norbormide",-4.238,1,511.581,2,7,5,92.18,-3.931,"OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7","norbormide"
"920","Dibutyl ether",-2.135,1,130.231,0,0,6,9.23,-1.85,"CCCCOCCCC","dibutyl ether"
"921","1-Dodecanol",-3.523,1,186.339,1,0,10,20.23,-4.8,"CCCCCCCCCCCCO","1-dodecanol"
"922","RTI 6",-3.335,1,313.361,2,3,4,81.59,-3.36,"CCN2c1nc(N(C)(CCO))ccc1NC(=O)c3cccnc23","rti 6"
"923","2-Methyl-2-pentanol",-1.308,1,102.177,1,0,2,20.23,-0.49,"CCCC(C)(C)O","2-methyl-2-pentanol"
"924","Flucytosine",-0.132,1,129.094,2,1,0,71.77,-0.972,"Nc1nc(=O)[nH]cc1F","flucytosine"
"925","stadacaine",-5.128,1,293.407,0,1,9,38.77,-3.84,"CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC","stadacaine"
"926","2-Methyl-2-heptanol",-2.017,1,130.231,1,0,4,20.23,-1.72,"CCCCCC(C)(C)O","2-methyl-2-heptanol"
"927","Hexamethylbenzene",-4.361,1,162.276,0,1,0,0,-5.23,"Cc1c(C)c(C)c(C)c(C)c1C","hexamethylbenzene"
"928","Thymol",-3.129,1,150.221,1,1,1,20.23,-2.22,"CC(C)c1ccc(C)cc1O","thymol"
"929","Pteridine",-0.906,2,132.126,0,2,0,51.56,0.02,"c2cnc1ncncc1n2","pteridine"
"930","Parathion",-3.949,1,291.265,0,1,7,70.83,-4.66,"CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O","parathion"
"931","Methane",-0.636,0,16.043,0,0,0,0,-0.9,"C","methane"
"932","indoline",-2.195,2,119.167,1,2,0,12.03,-1.04,"c2ccc1NCCc1c2","indoline"
"933","1-Nitronapthalene",-3.414,1,173.171,0,2,1,43.14,-3.54,"O=N(=O)c1cccc2ccccc12","1-nitronapthalene"
"934","3-Methyl-2-pentanone",-1.266,1,100.161,0,0,2,17.07,-0.67,"CCC(C)C(=O)C","3-methyl-2-pentanone"
"935","isoguanine",-1.74,1,151.129,3,2,0,100.71,-3.401,"Nc1nc(O)nc2nc[nH]c12","isoguanine"
"936","bromadiolone",-7.877,1,527.414,2,5,6,70.67,-4.445,"OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5","bromadiolone"
"937","Nitromethane",-0.042,1,61.04,0,0,0,43.14,0.26,"CN(=O)=O","nitromethane"
"938","Triallate",-4.578,1,304.67,0,0,4,20.31,-4.88,"CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl","triallate"
"939","1,5-Hexadiene",-2.112,1,82.146,0,0,3,0,-2.68,"C=CCCC=C","1,5-hexadiene"
"940","Indole",-2.654,2,117.151,1,2,0,15.79,-1.52,"c2ccc1[nH]ccc1c2","indole"
"941","Androstenedione",-3.393,1,286.415,0,4,0,34.14,-3.69,"CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O","androstenedione"
"942","1-Hexene",-2.364,1,84.162,0,0,3,0,-3.23,"CCCCC=C","1-hexene"
"943","Xipamide",-3.642,1,354.815,3,2,3,109.49,-3.79,"Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O","xipamide"
"944","Ethylcyclohexane",-3.245,1,112.216,0,1,1,0,-4.25,"CCC1CCCCC1","ethylcyclohexane"
"945","2-Nonanone",-2.263,1,142.242,0,0,6,17.07,-2.58,"CCCCCCCC(=O)C","2-nonanone"
"946","Mebendazole",-4.118,1,295.298,2,3,3,84.08,-3.88,"COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3","mebendazole"
"947","Chloropham",-3.544,1,213.664,1,1,2,38.33,-3.38,"CC(C)OC(=O)Nc1cccc(Cl)c1","chloropham"
"948","RTI 12",-3.446,1,288.738,0,3,1,49.33,-4.114,"CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23","rti 12"
"949","Carbaryl",-3.087,1,201.225,1,2,1,38.33,-3.224,"CNC(=O)Oc1cccc2ccccc12","carbaryl"
"950","Ethyne",-0.252,1,26.038,0,0,0,0,0.29,"C#C","ethyne"
"951","3,5-Dimethylpyridine",-2.098,1,107.156,0,1,0,12.89,0.38,"Cc1cncc(C)c1","3,5-dimethylpyridine"
"952","1,4-Cyclohexadiene",-1.842,2,80.13,0,1,0,0,-2.06,"C1C=CCC=C1","1,4-cyclohexadiene"
"953","Mecarbam",-3.738,1,329.38,0,0,8,65.07,-2.518,"CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC","mecarbam"
"954","1-Phenylethanol",-1.919,1,122.167,1,1,1,20.23,-0.92,"CC(O)c1ccccc1","1-phenylethanol"
"955","1,2-Dichloropropane",-1.794,1,112.987,0,0,1,0,-1.6,"CC(Cl)CCl","1,2-dichloropropane"
"956","2-Ethyl-2-hexanal",-2.081,1,126.199,0,0,4,17.07,-2.46,"CCCC=C(CC)C=O","2-ethyl-2-hexanal"
"957","Disulfoton",-3.975,1,274.413,0,0,9,18.46,-4.23,"CCOP(=S)(OCC)SCCSCC","disulfoton"
"958","methyltestosterone acetate",-4.863,1,344.495,0,4,1,43.37,-5.284,"CC(=O)OC3(C)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C","methyltestosterone acetate"
"959","2,4,6-PCB",-5.604,1,257.547,0,2,1,0,-6.14,"Clc1ccc(cc1)c2c(Cl)cccc2Cl","2,4,6-pcb"
"960","difluron",-4.692,1,310.687,2,2,2,58.2,-6.02,"Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2","difluron"
"961","Triclosan",-5.645,1,289.545,1,2,2,29.46,-4.46,"Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl","triclosan"
"962","diisooctyl phthalate",-7.117,1,390.564,0,1,14,52.6,-6.637,"c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1","diisooctyl phthalate"
"963","Corticosterone",-3.454,1,346.467,2,4,2,74.6,-3.24,"CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO","corticosterone"
"964","1,3,5-Trimethylbenzene",-3.375,1,120.195,0,1,0,0,-3.4,"Cc1cc(C)cc(C)c1","1,3,5-trimethylbenzene"
"965","dioctyl phthalate",-7.148,1,390.564,0,1,16,52.6,-5.115,"CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC","dioctyl phthalate"
"966","1-Pentadecanol",-4.586,1,228.42,1,0,13,20.23,-6.35,"CCCCCCCCCCCCCCCO","1-pentadecanol"
"967","2,2',6,6'-PCB",-5.915,1,-291.992,0,2,1,0,-7.39,"Clc1cccc(Cl)c1c2c(Cl)cccc2Cl","2,2',6,6'-pcb"
